,match_id,team_id,team_confederation,referee_id,ref_confederation,yellow_card
1489,M-2022-26,T-47,CAF,R-362,CONCACAF,1
1490,M-2022-27,T-12,CONCACAF,R-282,CONMEBOL,2
1491,M-2022-28,T-31,UEFA,R-265,UEFA,3
1492,M-2022-29,T-66,UEFA,R-188,AFC,2
1493,M-2022-30,T-32,CAF,R-428,UEFA,2
1494,M-2022-31,T-75,UEFA,R-044,CONCACAF,1
1495,M-2022-32,T-84,CONMEBOL,R-147,AFC,2
1496,M-2022-33,T-65,CAF,R-441,UEFA,1
1497,M-2022-34,T-59,AFC,R-167,CAF,0
1498,M-2022-35,T-83,CONCACAF,R-279,UEFA,1
1499,M-2022-36,T-28,UEFA,R-468,UEFA,0
1500,M-2022-37,T-22,UEFA,R-170,CAF,1
1501,M-2022-38,T-30,UEFA,R-099,OFC,0
1502,M-2022-39,T-03,CONMEBOL,R-265,UEFA,1
1503,M-2022-40,T-46,CONCACAF,R-325,UEFA,1
1504,M-2022-41,T-47,CAF,R-093,CONMEBOL,0
1505,M-2022-42,T-06,UEFA,R-428,UEFA,1
1506,M-2022-43,T-31,UEFA,R-153,UEFA,0
1507,M-2022-44,T-73,UEFA,R-173,CAF,0
1508,M-2022-45,T-84,CONMEBOL,R-404,UEFA,5
1509,M-2022-46,T-58,UEFA,R-432,CONMEBOL,0
1510,M-2022-47,T-09,CONMEBOL,R-136,CONCACAF,2
1511,M-2022-48,T-75,UEFA,R-364,CONMEBOL,4
1512,M-2022-49,T-83,CONCACAF,R-386,CONMEBOL,0
1513,M-2022-50,T-04,AFC,R-269,UEFA,2
1514,M-2022-51,T-57,UEFA,R-448,CONMEBOL,2
1515,M-2022-52,T-65,CAF,R-044,CONCACAF,1
1516,M-2022-53,T-18,UEFA,R-136,CONCACAF,2
1517,M-2022-54,T-71,AFC,R-441,UEFA,1
1518,M-2022-55,T-73,UEFA,R-364,CONMEBOL,1
1519,M-2022-56,T-75,UEFA,R-362,CONCACAF,2
1520,M-2022-57,T-09,CONMEBOL,R-325,UEFA,3
1521,M-2022-58,T-03,CONMEBOL,R-279,UEFA,8
1522,M-2022-59,T-58,UEFA,R-432,CONMEBOL,1
1523,M-2022-60,T-30,UEFA,R-386,CONMEBOL,3
1524,M-2022-61,T-18,UEFA,R-327,UEFA,2
1525,M-2022-62,T-47,CAF,R-362,CONCACAF,1
1526,M-2022-63,T-47,CAF,R-013,AFC,2
1527,M-2022-64,T-30,UEFA,R-269,UEFA,3
